DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
YvPOllVtINQ,2021Q3,TMCWi1jV65s,TcbPwuDGR7C,JVafaPfopJf,9
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Ba3F9Cdo4TM,JVafaPfopJf,17
YvPOllVtINQ,2021Q3,TMCWi1jV65s,hrDvHLgNfrf,JVafaPfopJf,32
YvPOllVtINQ,2021Q3,TMCWi1jV65s,pjkXBdgweKp,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,UmKpnaBWKNG,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,mR4xiOSrCOb,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Wl6Xe4IRe5N,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,B3YJoWLCkue,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,XkXgVeD7zWW,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,nVgwQTwVWng,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,oDCkdeCOlft,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Xv7byNPl3sp,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,mKoxFv2cCli,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,mGvZHOcps52,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,i9oC3RD2uGE,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,UBAW8zO2PXf,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,CUcChuyrJO2,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,WCUwCrmtbTo,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,WalMMpT8Ue2,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,MEG4maaWoA7,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,dsq0QpQMPj0,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,FKErASt2t1z,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,dVZwJhviGrl,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,uQJ2RFlLZ8L,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Gi32xq0roZx,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,RtzNjHlVYXH,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,ru0hDqbhyku,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,wQEJHaLbSn1,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,hOmBYbgBZ0O,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,oMV1pF48ZLc,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,qbFLLU6Fimz,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,yuVedHVF5au,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,SkrleMTebAa,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,e6laBt0a4H5,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,g0Y3klhGDYM,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,vG5FAcGH9US,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,TMCWi1jV65s,qaqq0s49le3,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,TMCWi1jV65s,b1veZoOczoR,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,TMCWi1jV65s,FR9ZDmeA4Az,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,TMCWi1jV65s,jBJaVu6svtP,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,TMCWi1jV65s,xxGho4palSB,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,YVmIiOo8V17,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,HDhg4LTHBRa,JVafaPfopJf,0
